Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,prolificacademicID,practice_unacceptable,practice_acceptable,dp_vecino,dp_país,dp_libro,dp_comprar,pp_habilidad,pp_puesto,pp_hombre,pp_amiga,ap_agotados,ap_cansado,ap_rico,ap_triste,acceptable_examen,acceptable_pastel,acceptable_desayunar,acceptable_fiesta,acceptable_vestido,acceptable_interesada,acceptable_gimnasio,acceptable_estudiar,acceptable_paris,acceptable_trabajo,acceptable_medicamento,acceptable_casarse,unacceptable_cuadro,unacceptable_criticar,unacceptable_alfombra,unacceptable_propuesta,unacceptable_arreglar,unacceptable_bicicleta,unacceptable_disfrutar,unacceptable_ajustar,unacceptable_novela,unacceptable_chamarra,unacceptable_documento,unacceptable_auditor,residencia_actual,¿Ha residido la mayor parte de su vida en México?,¿Tiene algún comentario sobre el experimento? Por favor escríbalo aquí.
3/4/20 22:43,3/4/20 22:49,Survey Preview,NA,100,357,TRUE,3/4/20 22:49,R_10DdwZrZOabcXXL,NA,NA,NA,NA,37.41520691,-122.1223984,preview,ES,1,19.89,83.402,57.202,65.295,58.025,51.989,66.255,65.981,61.866,70.919,65.158,65.295,53.772,53.909,65.432,47.462,60.905,63.1,67.49,60.082,53.635,52.401,65.981,61.866,70.645,66.392,55.83,48.697,71.468,74.623,57.613,54.595,62.826,59.534,64.335,57.476,54.458,60,No,Sí,NA
3/4/20 22:50,3/4/20 22:53,Survey Preview,NA,100,187,TRUE,3/4/20 22:53,R_21GkAb2PScJSi1t,NA,NA,NA,NA,37.41520691,-122.1223984,preview,ES,2,9.053,83.951,68.038,65.021,67.901,71.193,67.627,68.587,63.786,65.981,65.295,65.981,62.003,66.941,62.003,66.667,61.317,68.999,73.525,65.158,65.295,69.684,54.87,65.706,69.959,62.551,62.003,67.215,64.472,67.627,63.923,57.339,64.335,70.37,65.158,67.627,68.724,66,Sí,Sí,NA
3/5/20 8:29,3/5/20 8:35,IP Address,200.68.138.45,100,369,TRUE,3/5/20 8:35,R_2Yfgt2jTbivunye,NA,NA,NA,NA,20.63800049,-103.3479996,anonymous,ES,3,2.706,100,23.856,100,69.557,19.085,83.327,23.383,72.364,4.78,10.498,13.204,3.502,21.792,100,100,100,100,100,100,100,100,100,100,100,100,12.407,15.749,72.037,18.136,7.481,10.5,16.548,43.735,22.581,14.641,10.661,9,Sí,Sí,NA
3/5/20 9:07,3/5/20 9:17,IP Address,148.202.141.171,100,582,TRUE,3/5/20 9:17,R_3NLfEHyKp9Mmxcd,NA,NA,NA,NA,20.66679382,-103.392601,anonymous,ES,4,0,100,2.229,2.229,86.943,96.815,81.847,2.229,89.809,2.229,2.229,27.389,2.229,2.229,96.815,94.268,95.86,95.223,97.134,90.764,95.223,90.127,91.401,90.446,92.357,100,2.229,2.229,6.688,2.229,2.229,2.229,2.229,8.28,2.229,36.943,3.503,2,Sí,Sí,NA
3/5/20 9:10,3/5/20 9:17,IP Address,148.202.141.171,100,431,TRUE,3/5/20 9:17,R_1JUCxj42ZGmpRV9,NA,NA,NA,NA,20.63800049,-103.3479996,anonymous,ES,5,3.343,99.696,38.906,7.599,7.903,14.894,6.991,9.726,53.799,3.647,5.167,7.295,7.903,6.991,100,100,100,100,71.429,100,100,100,100,100,5.167,99.696,9.119,3.04,8.207,4.863,8.815,3.647,6.991,7.295,4.863,5.167,6.383,34,Sí,Sí,NA
3/5/20 16:43,3/5/20 16:57,IP Address,200.68.138.190,100,875,TRUE,3/5/20 16:57,R_A5knhgia4Uqx5YZ,NA,NA,NA,NA,20.67590332,-103.3375015,anonymous,ES,6,3.822,100,90.764,46.815,0.531,39.384,19.639,15.499,98.301,18.047,5.096,37.155,0,2.654,100,95.011,100,99.575,83.758,100,100,100,100,96.497,100,100,3.609,0.637,26.539,2.442,2.76,0.425,0,0.212,3.291,1.486,0,30,Sí,Sí,Ninguno
3/5/20 17:07,3/5/20 17:13,IP Address,177.249.42.163,100,367,TRUE,3/5/20 17:13,R_33x3kYIs0y8blFp,NA,NA,NA,NA,20.81869507,-103.4633026,anonymous,ES,7,4.459,95.86,16.561,15.605,35.669,35.669,42.357,32.166,86.306,10.51,21.338,57.962,18.153,4.14,100,91.083,99.045,98.089,96.497,100,25.159,83.439,28.344,83.439,86.624,99.363,26.115,28.025,19.108,29.299,27.07,51.592,21.019,42.994,42.357,29.936,29.299,26,Sí,Sí,Muy interesante la forma en qué se construyeron los ejemplos.
3/5/20 19:05,3/5/20 19:15,IP Address,200.68.138.46,100,588,TRUE,3/5/20 19:15,R_25tmnt8EmE7RLn8,NA,NA,NA,NA,20.63800049,-103.3479996,anonymous,ES,8,2.548,100,71.019,100,2.229,31.847,5.096,28.344,100,1.433,70.382,2.548,2.229,1.592,100,100,100,100,100,100,100,100,100,100,100,100,32.166,22.93,100,10.51,5.573,31.21,34.395,2.229,69.745,3.662,2.229,70,Sí,Sí,NA
3/5/20 19:24,3/5/20 19:29,IP Address,189.203.149.86,100,354,TRUE,3/5/20 19:29,R_3JbgUwFF6DONiKU,NA,NA,NA,NA,20.81869507,-103.4633026,anonymous,ES,9,0.955,100,100,2.229,100,87.898,100,100,100,85.032,2.229,2.229,100,2.229,100,100,100,100,100,100,100,100,100,100,100,100,0.318,2.229,2.229,2.229,2.229,0.318,3.185,2.229,78.344,2.229,0.637,100,Sí,Sí,NA
3/5/20 21:03,3/5/20 21:50,IP Address,187.189.248.12,100,2824,TRUE,3/5/20 21:50,R_1FRJlMd5ms8oeCQ,NA,NA,NA,NA,20.63800049,-103.3479996,anonymous,ES,10,4.459,100,44.268,22.293,33.439,31.21,22.93,36.624,92.038,23.885,46.497,42.038,24.841,20.382,100,100,100,97.771,100,100,67.834,100,100,100,100,100,45.223,31.847,100,18.471,9.236,22.93,47.134,19.427,8.28,28.662,10.191,22,Sí,Sí,Muy interesante
